idx,palabra,ocurrencias
90,peor,311
91,peores,310
92,peorcito,309
93,lento,308
94,lentos,307
95,lamentable,306
96,lamentables,305
97,roba,304
98,roban,303
99,robaron,302
100,robaran,301
101,robarán,300
102,vergenza,299
103,entrega, 300
104,ufufuf,302
105,no,300
106,ni,300
107,nada,300
108,queja,300
109,quejar,300
110,quejado,300
111,quejan,300
112,caos,300
113,caotico,300
114,caótico,300
115,caotica,300
116,caótica,300
117,extraviar,300
118,extraviado,300
119,extraviada,300
120,extraviaron,300
121,extraviados,300
122,extraviadas300
123,extravió,300
124,increible,400
125,increíble,400
136,vosotros,400
1,ladrón,400
2,ladron,399
3,ladrones,398
4,ladronas,397
5,ladrona,396
6,gracias,395
7,envio,394
8,envío,393
9,envió,392
10,enviaron,391
11,enviamos,390
12,envíos,389
13,envios,388
14,enviarán,387
15,enviaran,386
16,mal,385
17,malo,384
18,malisimo,383
19,malísimo,382
20,mala,381
21,pésimo,380
22,pesimo,379
23,pésima,378
24,pesima,377
25,pésimas,376
26,pesimas,375
27,fatal,374
28,fatales,373
29,perfecto,372
30,perfectas,371
31,perfectos,370
32,perfección,369
33,perfeccion,368
34,puntual,367
35,puntuales,366
36,tarde,365
37,tardaron,364
38,deteriorado,363
39,deteriorada,362
40,deteriorados,361
41,deterioradas,360
42,roto,359
43,rotos,358
44,rota,357
45,rotas,356
46,tengo,355
47,verguenza,354
48,vergüenza,353
49,vergonzoso,352
50,vergonzosa,351
51,vergonzosos,350
52,vergonzosas,349
53,intolerable,348
54,intolerables,347
55,denigrante,346
56,denigrantes,345
57,sucio,344
58,sucios,343
59,sucia,342
60,sucias,341
61,meado,340
62,meados,339
63,meada,338
64,meadas,337
65,temblando,336
66,tiemblo,335
67,pena,334
68,penar,333
69,penando,332
70,penado,331
71,llega,330
72,llegado,329
73,llegó,328
74,llego,327
75,llegando,326
76,llegaron,325
77,llegaran,324
78,llegarán,323
79,donde,322
80,dónde,321
81,nadie,320
82,comunica,319
83,comunican,318
84,gratis,317
85,antes,316
86,anticipado,315
87,anticipada,314
88,anticipados,313
89,anticipadas,312
